ED,Reported As,Reporting,Michael A. Walrond Jr.,Adriano Espaillat,Charles B. Rangel,Scattered,Yolanda Garcia,Total Votes,p_Michael A. Walrond Jr.,p_Adriano Espaillat,p_Charles B. Rangel,p_Scattered,p_Yolanda Garcia,winner,winner_p
72008,72008,100,2,135,24,0,3,164,0.012195121951219513,0.823170731707317,0.14634146341463414,0.0,0.018292682926829267,Adriano Espaillat,0.823170731707317
72009,72009,100,2,196,34,0,1,233,0.008583690987124463,0.8412017167381974,0.1459227467811159,0.0,0.004291845493562232,Adriano Espaillat,0.8412017167381974
72010,72010,100,3,125,25,0,0,153,0.0196078431372549,0.8169934640522876,0.16339869281045752,0.0,0.0,Adriano Espaillat,0.8169934640522876
72011,72011,100,0,120,18,1,0,139,0.0,0.8633093525179856,0.12949640287769784,0.007194244604316547,0.0,Adriano Espaillat,0.8633093525179856
72012,72012,100,2,119,27,0,0,148,0.013513513513513514,0.8040540540540541,0.18243243243243243,0.0,0.0,Adriano Espaillat,0.8040540540540541
72013,72013,100,1,95,11,0,0,107,0.009345794392523364,0.8878504672897196,0.102803738317757,0.0,0.0,Adriano Espaillat,0.8878504672897196
72014,72014,100,2,126,51,1,2,182,0.01098901098901099,0.6923076923076923,0.2802197802197802,0.005494505494505495,0.01098901098901099,Adriano Espaillat,0.6923076923076923
72015,72015,100,3,103,34,0,1,141,0.02127659574468085,0.7304964539007093,0.24113475177304963,0.0,0.0070921985815602835,Adriano Espaillat,0.7304964539007093
72016,72016,100,2,123,35,0,2,162,0.012345679012345678,0.7592592592592593,0.21604938271604937,0.0,0.012345679012345678,Adriano Espaillat,0.7592592592592593
72017,72017,100,2,102,27,2,2,135,0.014814814814814815,0.7555555555555555,0.2,0.014814814814814815,0.014814814814814815,Adriano Espaillat,0.7555555555555555
72018,72018,100,0,58,38,0,4,100,0.0,0.58,0.38,0.0,0.04,Adriano Espaillat,0.58
72019,72019,100,2,81,38,0,1,122,0.01639344262295082,0.6639344262295082,0.3114754098360656,0.0,0.00819672131147541,Adriano Espaillat,0.6639344262295082
72020,72020,100,0,106,26,0,1,133,0.0,0.7969924812030075,0.19548872180451127,0.0,0.007518796992481203,Adriano Espaillat,0.7969924812030075
72021,72021,100,3,119,37,0,2,161,0.018633540372670808,0.7391304347826086,0.22981366459627328,0.0,0.012422360248447204,Adriano Espaillat,0.7391304347826086
72022,72022,100,3,113,24,0,1,141,0.02127659574468085,0.8014184397163121,0.1702127659574468,0.0,0.0070921985815602835,Adriano Espaillat,0.8014184397163121
72023,72023,100,0,62,14,1,0,77,0.0,0.8051948051948052,0.18181818181818182,0.012987012987012988,0.0,Adriano Espaillat,0.8051948051948052
72024,72024,100,0,111,25,1,3,140,0.0,0.7928571428571428,0.17857142857142858,0.007142857142857143,0.02142857142857143,Adriano Espaillat,0.7928571428571428
72025,72025,100,0,101,22,0,0,123,0.0,0.8211382113821138,0.17886178861788618,0.0,0.0,Adriano Espaillat,0.8211382113821138
72026,72026,100,1,85,25,1,0,112,0.008928571428571428,0.7589285714285714,0.22321428571428573,0.008928571428571428,0.0,Adriano Espaillat,0.7589285714285714
72027,72027,100,1,74,27,0,1,103,0.009708737864077669,0.7184466019417476,0.2621359223300971,0.0,0.009708737864077669,Adriano Espaillat,0.7184466019417476
72028,72028,100,4,158,29,0,0,191,0.020942408376963352,0.8272251308900523,0.1518324607329843,0.0,0.0,Adriano Espaillat,0.8272251308900523
72029,72029,100,2,137,20,0,3,162,0.012345679012345678,0.845679012345679,0.12345679012345678,0.0,0.018518518518518517,Adriano Espaillat,0.845679012345679
72030,72030,100,0,111,22,0,1,134,0.0,0.8283582089552238,0.16417910447761194,0.0,0.007462686567164179,Adriano Espaillat,0.8283582089552238
72031,72031,100,1,142,34,0,3,180,0.005555555555555556,0.7888888888888889,0.18888888888888888,0.0,0.016666666666666666,Adriano Espaillat,0.7888888888888889
72032,72032,100,2,128,31,0,2,163,0.012269938650306749,0.7852760736196319,0.1901840490797546,0.0,0.012269938650306749,Adriano Espaillat,0.7852760736196319
72033,72033,100,4,76,41,0,2,123,0.032520325203252036,0.6178861788617886,0.3333333333333333,0.0,0.016260162601626018,Adriano Espaillat,0.6178861788617886
