ED,Reported As,Reporting,Ruth H. Thompson,Crystal Collins,Scattered,Total Votes,p_Ruth H. Thompson,p_Crystal Collins,p_Scattered,winner,winner_p
83034,83034,100,65,2,0,67,0.9701492537313433,0.029850746268656716,0.0,Ruth H. Thompson,0.9701492537313433
83035,83035,100,29,4,0,33,0.8787878787878788,0.12121212121212122,0.0,Ruth H. Thompson,0.8787878787878788
83036,83036,100,29,4,0,33,0.8787878787878788,0.12121212121212122,0.0,Ruth H. Thompson,0.8787878787878788
83037,83037,100,26,2,0,28,0.9285714285714286,0.07142857142857142,0.0,Ruth H. Thompson,0.9285714285714286
83038,83038,100,34,6,0,40,0.85,0.15,0.0,Ruth H. Thompson,0.85
83039,83039,100,30,5,0,35,0.8571428571428571,0.14285714285714285,0.0,Ruth H. Thompson,0.8571428571428571
83040,83040,100,41,3,0,44,0.9318181818181818,0.06818181818181818,0.0,Ruth H. Thompson,0.9318181818181818
83041,83041,100,55,5,0,60,0.9166666666666666,0.08333333333333333,0.0,Ruth H. Thompson,0.9166666666666666
83042,83042,100,35,8,0,43,0.813953488372093,0.18604651162790697,0.0,Ruth H. Thompson,0.813953488372093
83043,83043,100,33,1,0,34,0.9705882352941176,0.029411764705882353,0.0,Ruth H. Thompson,0.9705882352941176
83044,83044,100,31,2,0,33,0.9393939393939394,0.06060606060606061,0.0,Ruth H. Thompson,0.9393939393939394
83045,83045,100,46,2,0,48,0.9583333333333334,0.041666666666666664,0.0,Ruth H. Thompson,0.9583333333333334
83046,83046,100,62,9,1,72,0.8611111111111112,0.125,0.013888888888888888,Ruth H. Thompson,0.8611111111111112
83047,83047,100,19,6,0,25,0.76,0.24,0.0,Ruth H. Thompson,0.76
83048,83048,100,28,3,1,32,0.875,0.09375,0.03125,Ruth H. Thompson,0.875
83049,83049,100,36,9,1,46,0.782608695652174,0.1956521739130435,0.021739130434782608,Ruth H. Thompson,0.782608695652174
83050,83050,100,34,10,0,44,0.7727272727272727,0.22727272727272727,0.0,Ruth H. Thompson,0.7727272727272727
83051,83051,100,38,1,0,39,0.9743589743589743,0.02564102564102564,0.0,Ruth H. Thompson,0.9743589743589743
83052,83052,100,42,2,0,44,0.9545454545454546,0.045454545454545456,0.0,Ruth H. Thompson,0.9545454545454546
83053,83053,100,26,1,0,27,0.9629629629629629,0.037037037037037035,0.0,Ruth H. Thompson,0.9629629629629629
