ED,Reported As,Reporting,Yes,No,Total Votes,p_Yes,p_No,winner,winner_p
46062,46062,99.00,212,73,285,0.743859649122807,0.256140350877193,Yes,0.743859649122807
46063,46063,99.00,143,60,203,0.7044334975369458,0.2955665024630542,Yes,0.7044334975369458
46064,46064,99.00,153,62,215,0.7116279069767442,0.28837209302325584,Yes,0.7116279069767442
46065,46065,99.00,141,68,209,0.6746411483253588,0.3253588516746411,Yes,0.6746411483253588
46066,46066,99.00,84,56,140,0.6,0.4,Yes,0.6
46067,46067,99.00,102,91,193,0.5284974093264249,0.47150259067357514,Yes,0.5284974093264249
46068,46068,99.00,83,92,175,0.4742857142857143,0.5257142857142857,No,0.5257142857142857
46069,46069,99.00,71,67,138,0.5144927536231884,0.4855072463768116,Yes,0.5144927536231884
46070,46070,99.00,3,0,3,1.0,0.0,Yes,1.0
46071,46071,99.00,78,54,132,0.5909090909090909,0.4090909090909091,Yes,0.5909090909090909
46072,46072,99.00,117,46,163,0.7177914110429447,0.2822085889570552,Yes,0.7177914110429447
46073,46073,99.00,93,46,139,0.6690647482014388,0.33093525179856115,Yes,0.6690647482014388
46074,46074,99.00,1,1,2,0.5,0.5,Tie,0.5
46075,46075,99.00,208,86,294,0.7074829931972789,0.2925170068027211,Yes,0.7074829931972789
46076,46076,99.00,4,2,6,0.6666666666666666,0.3333333333333333,Yes,0.6666666666666666
46077,46077,99.00,37,18,55,0.6727272727272727,0.32727272727272727,Yes,0.6727272727272727
46078,46078,99.00,219,127,346,0.6329479768786127,0.3670520231213873,Yes,0.6329479768786127
46079,46079,99.00,117,132,249,0.46987951807228917,0.5301204819277109,No,0.5301204819277109
46080,46080,99.00,91,22,113,0.8053097345132744,0.19469026548672566,Yes,0.8053097345132744
46081,46081,99.00,0,1,1,0.0,1.0,No,1.0
46082,46082,99.00,0,0,0,0,0,n/a,0
46083,46083,99.00,0,0,0,0,0,n/a,0
46084,46084,99.00,0,0,0,0,0,n/a,0
47001,47001,99.00,95,74,169,0.5621301775147929,0.4378698224852071,Yes,0.5621301775147929
47002,47002,99.00,7,1,8,0.875,0.125,Yes,0.875
47003,47003,99.00,43,22,65,0.6615384615384615,0.3384615384615385,Yes,0.6615384615384615
47004,47004,44.44,1,0,1,1.0,0.0,Yes,1.0
47005,47005,99.00,5,1,6,0.8333333333333334,0.16666666666666666,Yes,0.8333333333333334
47006,47006,99.00,120,71,191,0.6282722513089005,0.3717277486910995,Yes,0.6282722513089005
47007,47007,99.00,6,5,11,0.5454545454545454,0.45454545454545453,Yes,0.5454545454545454
47008,47008,99.00,113,66,179,0.6312849162011173,0.3687150837988827,Yes,0.6312849162011173
47009,47009,99.00,124,74,198,0.6262626262626263,0.37373737373737376,Yes,0.6262626262626263
47010,47010,99.00,7,10,17,0.4117647058823529,0.5882352941176471,No,0.5882352941176471
47011,47011,99.00,2,0,2,1.0,0.0,Yes,1.0
47012,47012,99.00,76,39,115,0.6608695652173913,0.3391304347826087,Yes,0.6608695652173913
47013,47013,99.00,115,55,170,0.6764705882352942,0.3235294117647059,Yes,0.6764705882352942
47014,47014,99.00,54,42,96,0.5625,0.4375,Yes,0.5625
47015,47015,99.00,49,12,61,0.8032786885245902,0.19672131147540983,Yes,0.8032786885245902
