ED,Reported As,Reporting,Toby Ann Stavisky (Independence),Toby Ann Stavisky (Working Families),Toby Ann Stavisky (Democratic),Scattered,Total Votes,Toby Ann Stavisky RECAP,Scattered RECAP,p_Toby Ann Stavisky (Independence),p_Toby Ann Stavisky (Working Families),p_Toby Ann Stavisky (Democratic),p_Scattered,p_Toby Ann Stavisky RECAP,p_Scattered RECAP,winner,winner_p
40017,40017,100,4,7,58,0,69,69,0,0.057971014492753624,0.10144927536231885,0.8405797101449275,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40018,40018,100,4,9,160,2,175,173,2,0.022857142857142857,0.05142857142857143,0.9142857142857143,0.011428571428571429,0.9885714285714285,0.011428571428571429,Toby Ann Stavisky RECAP,0.9885714285714285
40019,40019,100,4,6,161,1,172,171,1,0.023255813953488372,0.03488372093023256,0.936046511627907,0.005813953488372093,0.9941860465116279,0.005813953488372093,Toby Ann Stavisky RECAP,0.9941860465116279
40020,40020,100,12,15,138,1,166,165,1,0.07228915662650602,0.09036144578313253,0.8313253012048193,0.006024096385542169,0.9939759036144579,0.006024096385542169,Toby Ann Stavisky RECAP,0.9939759036144579
40021,40021,100,3,3,94,1,101,100,1,0.0297029702970297,0.0297029702970297,0.9306930693069307,0.009900990099009901,0.9900990099009901,0.009900990099009901,Toby Ann Stavisky RECAP,0.9900990099009901
40022,40022,100,5,11,195,3,214,211,3,0.02336448598130841,0.0514018691588785,0.9112149532710281,0.014018691588785047,0.985981308411215,0.014018691588785047,Toby Ann Stavisky RECAP,0.985981308411215
40023,40023,100,5,7,128,3,143,140,3,0.03496503496503497,0.04895104895104895,0.8951048951048951,0.02097902097902098,0.9790209790209791,0.02097902097902098,Toby Ann Stavisky RECAP,0.9790209790209791
40024,40024,100,5,5,155,1,166,165,1,0.030120481927710843,0.030120481927710843,0.9337349397590361,0.006024096385542169,0.9939759036144579,0.006024096385542169,Toby Ann Stavisky RECAP,0.9939759036144579
40025,40025,100,2,10,126,2,140,138,2,0.014285714285714285,0.07142857142857142,0.9,0.014285714285714285,0.9857142857142858,0.014285714285714285,Toby Ann Stavisky RECAP,0.9857142857142858
40026,40026,100,6,8,84,2,100,98,2,0.06,0.08,0.84,0.02,0.98,0.02,Toby Ann Stavisky RECAP,0.98
40027,40027,100,7,9,104,1,121,120,1,0.05785123966942149,0.0743801652892562,0.859504132231405,0.008264462809917356,0.9917355371900827,0.008264462809917356,Toby Ann Stavisky RECAP,0.9917355371900827
40029,40029,100,8,10,124,0,142,142,0,0.056338028169014086,0.07042253521126761,0.8732394366197183,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40030,40030,100,10,9,137,0,156,156,0,0.0641025641025641,0.057692307692307696,0.8782051282051282,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40031,40031,100,3,15,118,1,137,136,1,0.021897810218978103,0.10948905109489052,0.8613138686131386,0.0072992700729927005,0.9927007299270073,0.0072992700729927005,Toby Ann Stavisky RECAP,0.9927007299270073
40032,40032,100,3,7,123,0,133,133,0,0.022556390977443608,0.05263157894736842,0.924812030075188,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40033,40033,100,2,14,163,1,180,179,1,0.011111111111111112,0.07777777777777778,0.9055555555555556,0.005555555555555556,0.9944444444444445,0.005555555555555556,Toby Ann Stavisky RECAP,0.9944444444444445
40034,40034,100,1,9,130,0,140,140,0,0.007142857142857143,0.06428571428571428,0.9285714285714286,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40035,40035,100,0,5,198,0,203,203,0,0.0,0.024630541871921183,0.9753694581280788,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40036,40036,100,3,10,170,1,184,183,1,0.016304347826086956,0.05434782608695652,0.9239130434782609,0.005434782608695652,0.9945652173913043,0.005434782608695652,Toby Ann Stavisky RECAP,0.9945652173913043
40037,40037,100,1,4,178,1,184,183,1,0.005434782608695652,0.021739130434782608,0.967391304347826,0.005434782608695652,0.9945652173913043,0.005434782608695652,Toby Ann Stavisky RECAP,0.9945652173913043
40038,40038,100,4,9,122,2,137,135,2,0.029197080291970802,0.06569343065693431,0.8905109489051095,0.014598540145985401,0.9854014598540146,0.014598540145985401,Toby Ann Stavisky RECAP,0.9854014598540146
40039,40039,100,5,7,180,2,194,192,2,0.02577319587628866,0.03608247422680412,0.9278350515463918,0.010309278350515464,0.9896907216494846,0.010309278350515464,Toby Ann Stavisky RECAP,0.9896907216494846
40040,40040,100,3,4,134,2,143,141,2,0.02097902097902098,0.027972027972027972,0.9370629370629371,0.013986013986013986,0.986013986013986,0.013986013986013986,Toby Ann Stavisky RECAP,0.986013986013986
40041,40041,100,4,6,146,1,157,156,1,0.025477707006369428,0.03821656050955414,0.9299363057324841,0.006369426751592357,0.9936305732484076,0.006369426751592357,Toby Ann Stavisky RECAP,0.9936305732484076
40042,40042,100,5,7,120,2,134,132,2,0.03731343283582089,0.05223880597014925,0.8955223880597015,0.014925373134328358,0.9850746268656716,0.014925373134328358,Toby Ann Stavisky RECAP,0.9850746268656716
40043,40043,100,1,6,116,0,123,123,0,0.008130081300813009,0.04878048780487805,0.943089430894309,0.0,1.0,0.0,Toby Ann Stavisky RECAP,1.0
40044,40044,100,3,4,98,1,106,105,1,0.02830188679245283,0.03773584905660377,0.9245283018867925,0.009433962264150943,0.9905660377358491,0.009433962264150943,Toby Ann Stavisky RECAP,0.9905660377358491
