ED,Reported As,Reporting,Anthony Aldorasi (StopCommonCore),Scattered,Michael N. Gianaris (Working Families),Michael N. Gianaris (Democratic),Total Votes,Anthony Aldorasi RECAP,Scattered RECAP,Michael N. Gianaris RECAP,p_Anthony Aldorasi (StopCommonCore),p_Scattered,p_Michael N. Gianaris (Working Families),p_Michael N. Gianaris (Democratic),p_Anthony Aldorasi RECAP,p_Scattered RECAP,p_Michael N. Gianaris RECAP,winner,winner_p
36015,36015,100,8,3,24,126,161,8,3,150,0.049689440993788817,0.018633540372670808,0.14906832298136646,0.782608695652174,0.049689440993788817,0.018633540372670808,0.9316770186335404,Michael N. Gianaris RECAP,0.9316770186335404
36016,36016,100,3,5,27,197,232,3,5,224,0.01293103448275862,0.021551724137931036,0.11637931034482758,0.8491379310344828,0.01293103448275862,0.021551724137931036,0.9655172413793104,Michael N. Gianaris RECAP,0.9655172413793104
36017,36017,100,14,0,31,162,207,14,0,193,0.06763285024154589,0.0,0.1497584541062802,0.782608695652174,0.06763285024154589,0.0,0.9323671497584541,Michael N. Gianaris RECAP,0.9323671497584541
36018,36018,100,7,1,28,157,193,7,1,185,0.03626943005181347,0.0051813471502590676,0.14507772020725387,0.8134715025906736,0.03626943005181347,0.0051813471502590676,0.9585492227979274,Michael N. Gianaris RECAP,0.9585492227979274
36019,36019,100,6,1,26,158,191,6,1,184,0.031413612565445025,0.005235602094240838,0.13612565445026178,0.8272251308900523,0.031413612565445025,0.005235602094240838,0.9633507853403142,Michael N. Gianaris RECAP,0.9633507853403142
36020,36020,100,13,1,47,205,266,13,1,252,0.04887218045112782,0.0037593984962406013,0.17669172932330826,0.7706766917293233,0.04887218045112782,0.0037593984962406013,0.9473684210526315,Michael N. Gianaris RECAP,0.9473684210526315
36021,36021,100,4,2,35,161,202,4,2,196,0.019801980198019802,0.009900990099009901,0.17326732673267325,0.7970297029702971,0.019801980198019802,0.009900990099009901,0.9702970297029703,Michael N. Gianaris RECAP,0.9702970297029703
36022,36022,100,5,0,27,137,169,5,0,164,0.029585798816568046,0.0,0.15976331360946747,0.8106508875739645,0.029585798816568046,0.0,0.9704142011834319,Michael N. Gianaris RECAP,0.9704142011834319
36023,36023,100,3,0,18,101,122,3,0,119,0.02459016393442623,0.0,0.14754098360655737,0.8278688524590164,0.02459016393442623,0.0,0.9754098360655737,Michael N. Gianaris RECAP,0.9754098360655737
36024,36024,100,9,2,25,125,161,9,2,150,0.055900621118012424,0.012422360248447204,0.15527950310559005,0.7763975155279503,0.055900621118012424,0.012422360248447204,0.9316770186335404,Michael N. Gianaris RECAP,0.9316770186335404
36025,36025,100,6,1,17,119,143,6,1,136,0.04195804195804196,0.006993006993006993,0.11888111888111888,0.8321678321678322,0.04195804195804196,0.006993006993006993,0.951048951048951,Michael N. Gianaris RECAP,0.951048951048951
36026,36026,100,6,0,25,72,103,6,0,97,0.05825242718446602,0.0,0.24271844660194175,0.6990291262135923,0.05825242718446602,0.0,0.941747572815534,Michael N. Gianaris RECAP,0.941747572815534
36027,36027,100,8,0,25,97,130,8,0,122,0.06153846153846154,0.0,0.19230769230769232,0.7461538461538462,0.06153846153846154,0.0,0.9384615384615385,Michael N. Gianaris RECAP,0.9384615384615385
36028,36028,100,11,3,13,97,124,11,3,110,0.08870967741935484,0.024193548387096774,0.10483870967741936,0.782258064516129,0.08870967741935484,0.024193548387096774,0.8870967741935484,Michael N. Gianaris RECAP,0.8870967741935484
