ED,Reported As,Reporting,Jeffrey Dinowitz (Democratic),Alan H. Reed (Conservative),Scattered,Jeffrey Dinowitz (Working Families),Total Votes,Jeffrey Dinowitz RECAP,Alan H. Reed RECAP,Scattered RECAP,p_Jeffrey Dinowitz (Democratic),p_Alan H. Reed (Conservative),p_Scattered,p_Jeffrey Dinowitz (Working Families),p_Jeffrey Dinowitz RECAP,p_Alan H. Reed RECAP,p_Scattered RECAP,winner,winner_p
81095,81095,100,62,9,0,8,79,70,9,0,0.7848101265822784,0.11392405063291139,0.0,0.10126582278481013,0.8860759493670886,0.11392405063291139,0.0,Jeffrey Dinowitz RECAP,0.8860759493670886
81096,81096,100,93,3,0,4,100,97,3,0,0.93,0.03,0.0,0.04,0.97,0.03,0.0,Jeffrey Dinowitz RECAP,0.97
81097,81097,100,155,5,0,18,178,173,5,0,0.8707865168539326,0.028089887640449437,0.0,0.10112359550561797,0.9719101123595506,0.028089887640449437,0.0,Jeffrey Dinowitz RECAP,0.9719101123595506
81098,81098,100,112,5,0,11,128,123,5,0,0.875,0.0390625,0.0,0.0859375,0.9609375,0.0390625,0.0,Jeffrey Dinowitz RECAP,0.9609375
81099,81099,100,167,12,1,9,189,176,12,1,0.8835978835978836,0.06349206349206349,0.005291005291005291,0.047619047619047616,0.9312169312169312,0.06349206349206349,0.005291005291005291,Jeffrey Dinowitz RECAP,0.9312169312169312
81100,81100,100,97,0,0,7,104,104,0,0,0.9326923076923077,0.0,0.0,0.0673076923076923,1.0,0.0,0.0,Jeffrey Dinowitz RECAP,1.0
81107,81107,100,14,0,0,1,15,15,0,0,0.9333333333333333,0.0,0.0,0.06666666666666667,1.0,0.0,0.0,Jeffrey Dinowitz RECAP,1.0
81101,81107,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81102,81102,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81103,81103,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81104,81104,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81105,81105,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81106,81106,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
81108,81010,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0
