ED,Reported As,Reporting,Hakeem S. Jeffries (Working Families),Alan Bellone (Conservative),Hakeem S. Jeffries (Democratic),Scattered,Total Votes,Hakeem S. Jeffries RECAP,Alan Bellone RECAP,Scattered RECAP,p_Hakeem S. Jeffries (Working Families),p_Alan Bellone (Conservative),p_Hakeem S. Jeffries (Democratic),p_Scattered,p_Hakeem S. Jeffries RECAP,p_Alan Bellone RECAP,p_Scattered RECAP,winner,winner_p
60057,60057,100,7,5,209,0,221,216,5,0,0.03167420814479638,0.02262443438914027,0.9457013574660633,0.0,0.9773755656108597,0.02262443438914027,0.0,Hakeem S. Jeffries RECAP,0.9773755656108597
60058,60058,100,4,2,117,1,124,121,2,1,0.03225806451612903,0.016129032258064516,0.9435483870967742,0.008064516129032258,0.9758064516129032,0.016129032258064516,0.008064516129032258,Hakeem S. Jeffries RECAP,0.9758064516129032
60059,60059,100,5,3,90,0,98,95,3,0,0.05102040816326531,0.030612244897959183,0.9183673469387755,0.0,0.9693877551020408,0.030612244897959183,0.0,Hakeem S. Jeffries RECAP,0.9693877551020408
60060,60060,100,3,1,105,0,109,108,1,0,0.027522935779816515,0.009174311926605505,0.963302752293578,0.0,0.9908256880733946,0.009174311926605505,0.0,Hakeem S. Jeffries RECAP,0.9908256880733946
60061,60061,100,3,4,149,0,156,152,4,0,0.019230769230769232,0.02564102564102564,0.9551282051282052,0.0,0.9743589743589743,0.02564102564102564,0.0,Hakeem S. Jeffries RECAP,0.9743589743589743
60062,60062,100,10,11,208,0,229,218,11,0,0.043668122270742356,0.048034934497816595,0.9082969432314411,0.0,0.9519650655021834,0.048034934497816595,0.0,Hakeem S. Jeffries RECAP,0.9519650655021834
60063,60063,100,5,2,211,0,218,216,2,0,0.022935779816513763,0.009174311926605505,0.9678899082568807,0.0,0.9908256880733946,0.009174311926605505,0.0,Hakeem S. Jeffries RECAP,0.9908256880733946
60064,60064,100,16,3,199,0,218,215,3,0,0.07339449541284404,0.013761467889908258,0.9128440366972477,0.0,0.9862385321100917,0.013761467889908258,0.0,Hakeem S. Jeffries RECAP,0.9862385321100917
60065,60065,100,10,1,191,0,202,201,1,0,0.04950495049504951,0.0049504950495049506,0.9455445544554455,0.0,0.995049504950495,0.0049504950495049506,0.0,Hakeem S. Jeffries RECAP,0.995049504950495
60066,60066,100,3,2,84,0,89,87,2,0,0.033707865168539325,0.02247191011235955,0.9438202247191011,0.0,0.9775280898876404,0.02247191011235955,0.0,Hakeem S. Jeffries RECAP,0.9775280898876404
