ED,Reported As,Reporting,Scattered,Velmanette Montgomery (Democratic),Velmanette Montgomery (Working Families),Total Votes,Scattered RECAP,Velmanette Montgomery RECAP,p_Scattered,p_Velmanette Montgomery (Democratic),p_Velmanette Montgomery (Working Families),p_Scattered RECAP,p_Velmanette Montgomery RECAP,winner,winner_p
55023,55023,100,0,177,14,191,0,191,0.0,0.9267015706806283,0.07329842931937172,0.0,1.0,Velmanette Montgomery RECAP,1.0
55024,55024,100,0,127,2,129,0,129,0.0,0.9844961240310077,0.015503875968992248,0.0,1.0,Velmanette Montgomery RECAP,1.0
55025,55025,100,0,150,5,155,0,155,0.0,0.967741935483871,0.03225806451612903,0.0,1.0,Velmanette Montgomery RECAP,1.0
55028,55028,100,0,59,2,61,0,61,0.0,0.9672131147540983,0.03278688524590164,0.0,1.0,Velmanette Montgomery RECAP,1.0
55029,55029,100,0,59,1,60,0,60,0.0,0.9833333333333333,0.016666666666666666,0.0,1.0,Velmanette Montgomery RECAP,1.0
55030,55030,100,0,57,1,58,0,58,0.0,0.9827586206896551,0.017241379310344827,0.0,1.0,Velmanette Montgomery RECAP,1.0
55031,55031,100,0,355,17,372,0,372,0.0,0.9543010752688172,0.0456989247311828,0.0,1.0,Velmanette Montgomery RECAP,1.0
55032,55032,100,0,77,3,80,0,80,0.0,0.9625,0.0375,0.0,1.0,Velmanette Montgomery RECAP,1.0
55033,55033,100,0,131,8,139,0,139,0.0,0.9424460431654677,0.05755395683453238,0.0,1.0,Velmanette Montgomery RECAP,1.0
55034,55034,100,0,187,7,194,0,194,0.0,0.9639175257731959,0.03608247422680412,0.0,1.0,Velmanette Montgomery RECAP,1.0
55101,55101,100,0,107,5,112,0,112,0.0,0.9553571428571429,0.044642857142857144,0.0,1.0,Velmanette Montgomery RECAP,1.0
55102,55102,100,1,112,7,120,1,119,0.008333333333333333,0.9333333333333333,0.058333333333333334,0.008333333333333333,0.9916666666666667,Velmanette Montgomery RECAP,0.9916666666666667
55103,55103,100,0,151,13,164,0,164,0.0,0.9207317073170732,0.07926829268292683,0.0,1.0,Velmanette Montgomery RECAP,1.0
55104,55104,100,0,173,12,185,0,185,0.0,0.9351351351351351,0.06486486486486487,0.0,1.0,Velmanette Montgomery RECAP,1.0
55108,55108,100,0,0,0,0,0,0,0,0,0,0,0,n/a,0
56005,56005,100,0,111,9,120,0,120,0.0,0.925,0.075,0.0,1.0,Velmanette Montgomery RECAP,1.0
56012,56012,100,0,172,37,209,0,209,0.0,0.8229665071770335,0.17703349282296652,0.0,1.0,Velmanette Montgomery RECAP,1.0
56013,56013,100,0,143,13,156,0,156,0.0,0.9166666666666666,0.08333333333333333,0.0,1.0,Velmanette Montgomery RECAP,1.0
56014,56014,100,1,157,27,185,1,184,0.005405405405405406,0.8486486486486486,0.14594594594594595,0.005405405405405406,0.9945945945945946,Velmanette Montgomery RECAP,0.9945945945945946
56015,56015,100,0,159,17,176,0,176,0.0,0.9034090909090909,0.09659090909090909,0.0,1.0,Velmanette Montgomery RECAP,1.0
56016,56016,100,1,225,36,262,1,261,0.003816793893129771,0.8587786259541985,0.13740458015267176,0.003816793893129771,0.9961832061068703,Velmanette Montgomery RECAP,0.9961832061068703
56018,56018,100,1,179,33,213,1,212,0.004694835680751174,0.8403755868544601,0.15492957746478872,0.004694835680751174,0.9953051643192489,Velmanette Montgomery RECAP,0.9953051643192489
56019,56019,100,0,194,16,210,0,210,0.0,0.9238095238095239,0.0761904761904762,0.0,1.0,Velmanette Montgomery RECAP,1.0
56021,56021,100,0,156,16,172,0,172,0.0,0.9069767441860465,0.09302325581395349,0.0,1.0,Velmanette Montgomery RECAP,1.0
56022,56022,100,0,220,12,232,0,232,0.0,0.9482758620689655,0.05172413793103448,0.0,1.0,Velmanette Montgomery RECAP,1.0
56023,56023,100,1,176,21,198,1,197,0.005050505050505051,0.8888888888888888,0.10606060606060606,0.005050505050505051,0.9949494949494949,Velmanette Montgomery RECAP,0.9949494949494949
56024,56024,100,0,164,14,178,0,178,0.0,0.9213483146067416,0.07865168539325842,0.0,1.0,Velmanette Montgomery RECAP,1.0
56025,56025,100,0,175,14,189,0,189,0.0,0.9259259259259259,0.07407407407407407,0.0,1.0,Velmanette Montgomery RECAP,1.0
56026,56026,100,0,209,20,229,0,229,0.0,0.9126637554585153,0.08733624454148471,0.0,1.0,Velmanette Montgomery RECAP,1.0
56027,56027,100,0,161,20,181,0,181,0.0,0.8895027624309392,0.11049723756906077,0.0,1.0,Velmanette Montgomery RECAP,1.0
56028,56028,100,0,180,20,200,0,200,0.0,0.9,0.1,0.0,1.0,Velmanette Montgomery RECAP,1.0
56029,56029,100,0,124,7,131,0,131,0.0,0.9465648854961832,0.05343511450381679,0.0,1.0,Velmanette Montgomery RECAP,1.0
56030,56030,100,0,196,9,205,0,205,0.0,0.9560975609756097,0.04390243902439024,0.0,1.0,Velmanette Montgomery RECAP,1.0
56031,56031,100,0,143,13,156,0,156,0.0,0.9166666666666666,0.08333333333333333,0.0,1.0,Velmanette Montgomery RECAP,1.0
56032,56032,100,0,220,15,235,0,235,0.0,0.9361702127659575,0.06382978723404255,0.0,1.0,Velmanette Montgomery RECAP,1.0
56033,56033,100,0,212,25,237,0,237,0.0,0.8945147679324894,0.10548523206751055,0.0,1.0,Velmanette Montgomery RECAP,1.0
56034,56034,100,0,135,21,156,0,156,0.0,0.8653846153846154,0.1346153846153846,0.0,1.0,Velmanette Montgomery RECAP,1.0
56035,56035,100,0,197,26,223,0,223,0.0,0.8834080717488789,0.11659192825112108,0.0,1.0,Velmanette Montgomery RECAP,1.0
56036,56036,100,0,190,33,223,0,223,0.0,0.852017937219731,0.14798206278026907,0.0,1.0,Velmanette Montgomery RECAP,1.0
56037,56037,100,0,212,45,257,0,257,0.0,0.8249027237354085,0.17509727626459143,0.0,1.0,Velmanette Montgomery RECAP,1.0
56038,56038,100,1,204,37,242,1,241,0.004132231404958678,0.8429752066115702,0.15289256198347106,0.004132231404958678,0.9958677685950413,Velmanette Montgomery RECAP,0.9958677685950413
56039,56039,100,0,177,26,203,0,203,0.0,0.8719211822660099,0.12807881773399016,0.0,1.0,Velmanette Montgomery RECAP,1.0
